"wage" "school" "expr" "public" "female" "industry"
"1" 81 15 17 0 1 63
"2" 77 12 10 1 1 93
"3" 63 10 18 0 1 71
"4" 84 15 16 1 1 34
"5" 110 16 13 0 0 83
"6" 151 18 15 0 0 38
"7" 59 11 19 1 1 82
"8" 109 12 20 0 0 50
"9" 159 10 21 0 1 71
"10" 71 11 20 0 0 37
"11" 62 12 12 1 1 93
"12" 88 10 20 0 0 12
"13" 71 15 16 1 1 93
"14" 76 13 15 1 1 93
"15" 65 12 20 1 0 93
"16" 67 11 15 1 0 93
"17" 78 12 17 1 1 93
"18" 64 11 18 0 1 61
"19" 77 11 19 0 0 50
"20" 64 9 21 0 1 31
"21" 67 9 20 0 0 34
"22" 67 11 20 0 0 62
"23" 115 13 17 0 1 83
"24" 65 9 16 0 1 82
"25" 80 12 20 1 1 72
"26" 80 13 14 1 0 91
"27" 104 16 16 1 0 91
"28" 82 16 14 1 1 93
"29" 45 7 14 1 1 93
"30" 89 13 17 0 0 50
"31" 161 11 19 0 1 81
"32" 71 13 18 1 1 82
"33" 61 9 21 0 0 33
"34" 69 12 20 1 1 93
"35" 80 9 22 0 0 34
"36" 98 10 22 0 0 34
"37" 87 14 15 1 1 93
"38" 56 8 18 0 1 93
"39" 64 10 18 1 1 93
"40" 126 14 17 0 0 82
"41" 81 11 18 0 0 38
"42" 71 13 18 1 1 72
"43" 170 16 14 1 0 83
"44" 78 9 21 0 0 83
"45" 80 14 18 1 0 72
"46" 59 9 10 1 1 93
"47" 84 15 13 1 1 93
"48" 61 9 18 0 1 93
"49" 80 12 18 0 0 38
"50" 77 11 18 1 1 93
"51" 71 12 17 0 0 71
"52" 59 12 18 1 1 93
"53" 65 14 6 1 1 93
"54" 65 11 21 1 1 93
"55" 23 9 21 0 1 38
"56" 78 13 17 0 1 71
"57" 98 13 16 0 0 38
"58" 104 14 17 1 1 93
"59" 54 10 14 1 1 93
"60" 84 14 15 1 1 91
"61" 65 10 8 0 1 38
"62" 151 12 16 0 0 82
"63" 91 13 16 0 0 81
"64" 54 11 20 0 0 63
"65" 117 16 15 1 0 91
"66" 74 13 15 0 1 50
"67" 71 15 15 1 1 34
"68" 95 11 20 0 0 95
"69" 81 13 17 1 0 50
"70" 76 9 21 1 0 72
"71" 78 14 14 1 1 93
"72" 51 11 8 0 1 62
"73" 61 10 18 1 1 35
"74" 74 10 18 1 1 93
"75" 92 12 16 0 0 93
"76" 80 14 15 0 1 50
"77" 87 11 18 1 0 83
"78" 84 12 18 0 0 38
"79" 104 13 17 0 0 50
"80" 76 10 17 0 1 38
"81" 71 12 16 0 1 62
"82" 82 17 12 1 1 93
"83" 104 14 15 0 0 50
"84" 74 10 18 0 0 38
"85" 78 16 17 1 0 83
"86" 73 11 18 1 0 93
"87" 64 11 17 1 1 93
"88" 121 16 12 0 0 41
"89" 116 12 17 0 0 50
"90" 69 11 19 0 0 33
"91" 68 11 15 1 0 71
"92" 218 16 12 0 0 71
"93" 96 8 3 0 1 34
"94" 98 12 16 0 0 50
"95" 133 15 11 0 0 83
"96" 83 12 19 1 0 93
"97" 100 14 15 0 1 62
"98" 133 16 11 0 0 38
"99" 71 13 13 1 1 93
"100" 65 15 12 1 1 93
"101" 87 9 20 0 0 50
"102" 104 16 10 0 0 93
"103" 82 11 19 0 0 50
"104" 89 11 13 1 1 93
"105" 74 13 15 1 1 93
"106" 71 11 17 1 1 94
"107" 64 13 13 1 1 93
"108" 82 22 5 1 0 93
"109" 69 9 16 0 1 94
"110" 65 11 18 0 1 31
"111" 77 11 16 1 1 72
"112" 91 13 14 0 0 50
"113" 55 13 15 0 0 31
"114" 76 14 14 0 0 33
"115" 62 11 18 1 1 72
"116" 67 11 18 1 1 93
"117" 76 13 15 1 0 71
"118" 109 14 16 1 0 91
"119" 133 10 19 0 0 34
"120" 74 11 18 1 0 72
"121" 115 15 14 0 0 50
"122" 69 11 18 0 1 20
"123" 71 12 14 0 1 93
"124" 64 18 7 1 1 93
"125" 141 16 11 0 1 62
"126" 64 10 15 1 1 93
"127" 88 13 16 0 1 81
"128" 80 11 16 1 1 93
"129" 98 11 16 0 0 62
"130" 64 11 15 1 1 93
"131" 173 15 10 0 0 71
"132" 59 9 11 1 1 93
"133" 76 11 15 1 1 93
"134" 63 11 12 1 1 93
"135" 161 16 10 0 0 93
"136" 59 11 14 1 1 93
"137" 67 9 18 0 1 11
"138" 62 12 15 0 0 61
"139" 54 7 17 0 1 92
"140" 63 11 7 1 1 93
"141" 104 11 15 1 0 91
"142" 132 17 10 0 0 34
"143" 87 10 16 1 1 93
"144" 69 9 17 0 1 35
"145" 82 9 9 0 1 71
"146" 73 10 17 1 1 93
"147" 71 9 20 0 1 50
"148" 74 13 13 1 1 93
"149" 64 9 19 0 0 71
"150" 53 11 16 1 1 91
"151" 95 11 17 0 0 50
"152" 82 13 17 1 0 93
"153" 43 14 10 0 1 93
"154" 74 15 14 1 0 93
"155" 59 11 13 1 1 93
"156" 78 11 16 0 0 41
"157" 59 11 18 1 1 93
"158" 68 9 10 1 1 93
"159" 132 9 10 1 1 91
"160" 71 9 18 0 1 34
"161" 218 15 12 0 0 83
"162" 69 12 15 0 0 33
"163" 64 13 13 1 1 93
"164" 68 10 13 1 1 93
"165" 56 10 11 1 0 38
"166" 148 12 14 0 0 71
"167" 65 11 16 0 0 38
"168" 82 9 19 0 0 61
"169" 61 10 16 1 1 92
"170" 68 13 8 1 1 93
"171" 64 12 14 1 1 93
"172" 84 17 9 1 0 93
"173" 83 12 14 0 0 50
"174" 64 13 14 1 1 93
"175" 87 11 16 1 0 71
"176" 109 17 8 0 0 93
"177" 96 9 10 1 1 93
"178" 68 12 13 0 0 34
"179" 64 14 9 1 0 94
"180" 55 9 12 0 1 34
"181" 59 9 15 1 1 93
"182" 65 10 15 1 1 93
"183" 83 12 16 0 0 12
"184" 69 11 16 1 0 94
"185" 62 12 12 0 1 31
"186" 98 19 5 0 1 83
"187" 43 10 15 1 1 93
"188" 71 10 4 0 1 32
"189" 207 15 10 0 1 93
"190" 67 9 18 1 0 91
